histeq
buckets,10000
bitflips,16
runs,10
loads,438530
bucket_size,43

Architecture:                       x86_64
CPU op-mode(s):                     32-bit, 64-bit
Address sizes:                      48 bits physical, 48 bits virtual
Byte Order:                         Little Endian
CPU(s):                             256
On-line CPU(s) list:                0-255
Vendor ID:                          AuthenticAMD
Model name:                         AMD EPYC 7763 64-Core Processor
CPU family:                         25
Model:                              1
Thread(s) per core:                 2
Core(s) per socket:                 64
Socket(s):                          2
Stepping:                           1
BogoMIPS:                           4891.11
Flags:                              fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf rapl pni pclmulqdq monitor ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand lahf_lm cmp_legacy svm extapic cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw ibs skinit wdt tce topoext perfctr_core perfctr_nb bpext perfctr_llc mwaitx cpb cat_l3 cdp_l3 invpcid_single hw_pstate ssbd mba ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 invpcid cqm rdt_a rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 xsaves cqm_llc cqm_occup_llc cqm_mbm_total cqm_mbm_local clzero irperf xsaveerptr rdpru wbnoinvd amd_ppin brs arat npt lbrv svm_lock nrip_save tsc_scale vmcb_clean flushbyasid decodeassists pausefilter pfthreshold v_vmsave_vmload vgif v_spec_ctrl umip pku ospke vaes vpclmulqdq rdpid overflow_recov succor smca
Virtualization:                     AMD-V
L1d cache:                          4 MiB (128 instances)
L1i cache:                          4 MiB (128 instances)
L2 cache:                           64 MiB (128 instances)
L3 cache:                           512 MiB (16 instances)
NUMA node(s):                       8
NUMA node0 CPU(s):                  0-15,128-143
NUMA node1 CPU(s):                  16-31,144-159
NUMA node2 CPU(s):                  32-47,160-175
NUMA node3 CPU(s):                  48-63,176-191
NUMA node4 CPU(s):                  64-79,192-207
NUMA node5 CPU(s):                  80-95,208-223
NUMA node6 CPU(s):                  96-111,224-239
NUMA node7 CPU(s):                  112-127,240-255
Vulnerability Gather data sampling: Not affected
Vulnerability Itlb multihit:        Not affected
Vulnerability L1tf:                 Not affected
Vulnerability Mds:                  Not affected
Vulnerability Meltdown:             Not affected
Vulnerability Mmio stale data:      Not affected
Vulnerability Retbleed:             Not affected
Vulnerability Spec store bypass:    Mitigation; Speculative Store Bypass disabled via prctl
Vulnerability Spectre v1:           Mitigation; usercopy/swapgs barriers and __user pointer sanitization
Vulnerability Spectre v2:           Mitigation; Retpolines, IBPB conditional, IBRS_FW, STIBP always-on, RSB filling, PBRSB-eIBRS Not affected
Vulnerability Srbds:                Not affected
Vulnerability Tsx async abort:      Not affected

bucket_id,error_rate=0/32,error_rate=1/32,error_rate=2/32,error_rate=3/32,error_rate=4/32,error_rate=5/32,error_rate=6/32,error_rate=7/32,error_rate=8/32,error_rate=9/32,error_rate=10/32,error_rate=11/32,error_rate=12/32,error_rate=13/32,error_rate=14/32,error_rate=15/32,
270,0.0,0.8294927160000001,0.9391647830000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
710,0.0,0.8788557540000002,0.961685876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
220,0.0,0.806060001,0.91766226,1.0,0.999172487,1.0,0.998746014,1.0,1.0,0.997044389,1.0,1.0,1.0,1.0,1.0,1.0,
1360,0.0,0.785567727,0.9840061370000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1880,0.0,0.763539333,0.9682770940000001,0.993308438,0.988219148,0.9933396670000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
160,0.0,0.781755743,0.915686738,1.0,0.9896023660000001,0.996330264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
70,0.0,0.77889795,0.9677163720000002,0.992940777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993271357,1.0,1.0,1.0,
370,0.0,0.8314765989999999,0.97796337,1.0,0.9923436029999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2130,0.0,0.8455321379999999,0.9607138580000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1570,0.0,0.809227145,0.9801156609999999,1.0,0.990730493,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
210,0.0,0.7983972269999999,0.946214866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2060,0.0,0.7838637800000001,0.9357785919999999,0.9981655029999998,0.9882065350000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2120,0.0,0.758640092,0.964957894,0.9980372450000001,0.9880365189999999,0.9957378130000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20,0.0,0.7679908790000001,0.9530461139999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2370,0.0,0.744386543,0.96055347,0.991970967,1.0,0.9943177930000001,1.0,1.0,1.0,1.0,1.0,0.999202143,1.0,1.0,1.0,1.0,
650,0.0,0.880752526,0.957346434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2240,0.0,0.7851496530000002,0.937827547,1.0,0.9974884669999999,1.0,0.9973086689999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
590,0.0,0.8767573150000001,0.940984641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2190,0.0,0.752938788,0.9414863710000001,1.0,0.996191608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
420,0.0,0.844149644,0.977540128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1580,0.0,0.820511879,0.9606511369999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
490,0.0,0.83639892,0.9670873139999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
800,0.0,0.889568726,0.960635534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2350,0.0,0.8073701629999999,0.9639355250000001,1.0,0.99236615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997517645,1.0,1.0,1.0,
190,0.0,0.785069649,0.9210264089999999,1.0,0.98938984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99554065,1.0,1.0,1.0,
1910,0.0,0.802909588,0.9766000160000001,1.0,0.9852334429999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
950,0.0,0.7735805450000001,0.985007643,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
410,0.0,0.626816408,0.936473657,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1970,0.0,0.773604124,0.9614419099999999,0.9967868440000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
740,0.0,0.870708685,0.9520559110000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
330,0.0,0.834874514,0.951867,1.0,0.994325577,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
390,0.0,0.88283953,0.972751193,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
100,0.0,0.8147481939999999,0.919879299,1.0,0.996883227,1.0,1.0,1.0,1.0,0.9982078160000001,1.0,1.0,0.9981216820000001,1.0,1.0,1.0,
1720,0.0,0.904527077,0.9723334970000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2160,0.0,0.8107549119999999,0.9557254480000001,0.998311543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2380,0.0,0.7759703790000001,0.9639032160000001,0.9909327470000001,0.9860314389999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9890717490000001,1.0,0.992710063,1.0,
890,0.0,0.7336514339999999,0.964695482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
440,0.0,0.6676778800000001,0.9513259780000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
470,0.0,0.701825586,0.9696540560000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1510,0.0,0.756183812,0.952549271,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
320,0.0,0.6444531010000001,0.939826962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
550,0.0,0.8333972379999999,0.955648275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1490,0.0,0.7880395069999999,0.9281237359999999,1.0,0.9934894940000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
940,0.0,0.8117954300000001,0.9927082540000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2340,0.0,0.738503618,0.931130564,0.9962357159999999,0.987833008,0.993953398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
290,0.0,0.60817287,0.9233325390000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
820,0.0,0.7838221960000002,0.9671795440000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2320,0.0,0.792717112,0.972861537,0.9982223539999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
600,0.0,0.642061177,0.93499926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
750,0.0,0.6467875970000001,0.9551659060000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1210,0.0,0.789140143,0.9278288910000002,1.0,0.9995299080000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1110,0.0,0.6518106699999999,0.9392382829999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
430,0.0,0.881822661,0.9636766119999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1040,0.0,0.8784835730000001,0.9743340469999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2280,0.0,0.740599601,0.9096552560000001,0.9911150559999999,0.995630798,0.998547555,1.0,1.0,1.0,1.0,1.0,1.0,0.9980027549999999,1.0,1.0,1.0,
1980,0.0,0.7377529140000001,0.9645625329999999,0.9912106999999999,0.998426391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999941347,1.0,
2150,0.0,0.761985555,0.961872222,1.0,1.0,0.996934457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
680,0.0,0.887206734,0.961326128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1050,0.0,0.6552373570000001,0.940898442,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
880,0.0,0.8417019299999999,0.9672638990000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1950,0.0,0.724797421,0.94574416,0.990427519,0.9978431430000001,0.998610315,1.0,1.0,1.0,1.0,1.0,1.0,0.999065251,1.0,1.0,1.0,
780,0.0,0.6193629110000001,0.967523552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1230,0.0,0.650414752,0.9529324320000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
460,0.0,0.8635481840000001,0.972220274,1.0,0.999798148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
930,0.0,0.7146178229999999,0.920954796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
60,0.0,0.780852221,0.962382936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2000,0.0,0.7697471059999998,0.9616125130000001,0.982252905,0.993806194,1.0,0.995888939,1.0,1.0,0.998417845,1.0,1.0,1.0,1.0,1.0,1.0,
260,0.0,0.619208102,0.9281146010000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1310,0.0,0.86180789,0.9291962189999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1760,0.0,0.7751932420000001,0.9616619200000001,0.9944016040000001,0.995947919,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
300,0.0,0.84795278,0.9392612680000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
280,0.0,0.7913619479999999,0.9318065609999999,0.9923725579999999,0.989025657,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
400,0.0,0.838736419,0.979696015,1.0,0.9993042190000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
140,0.0,0.722886922,0.964960263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2100,0.0,0.763871363,0.9881936249999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
350,0.0,0.6504443529999999,0.944956196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1070,0.0,0.860649754,0.991643585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1270,0.0,0.690097963,0.930037195,0.998844171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
360,0.0,0.820048327,0.9862373959999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
380,0.0,0.6148096710000001,0.9602120869999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
40,0.0,0.8278016899999999,0.9381102409999998,0.9998596989999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999186047,1.0,1.0,1.0,
1750,0.0,0.8619058369999999,0.971051173,1.0,0.9970171650000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2030,0.0,0.7241624919999999,0.9552150300000001,0.991243871,0.996488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1470,0.0,0.859011199,0.990499419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
30,0.0,0.7717501629999999,0.978775153,0.9921536360000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1700,0.0,0.833301696,0.990742582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
690,0.0,0.622214158,0.9301765490000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1450,0.0,0.731856991,0.987163075,0.9945441800000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2550,0.0,0.792600442,0.9971688889999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1620,0.0,0.82437442,0.953100364,1.0,0.9991093769999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
50,0.0,0.755918529,0.9680794730000001,0.992572518,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
130,0.0,0.7776460000000001,0.9670578040000001,0.988957463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
830,0.0,0.871515903,0.989093424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2400,0.0,0.7876937730000001,0.982241827,0.997854939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1240,0.0,0.7422917869999999,0.9670448439999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1300,0.0,0.676648857,0.946271179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1520,0.0,0.769297106,0.9835735120000001,0.998575704,0.9871567779999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1870,0.0,0.8026248019999999,0.95939959,0.989979817,0.992885798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1730,0.0,0.796172889,0.9683732,0.9992331529999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2410,0.0,0.780816024,0.962821742,0.98913756,0.9943538010000001,1.0,1.0,1.0,1.0,0.995621326,1.0,1.0,1.0,1.0,1.0,1.0,
980,0.0,0.8323218459999999,0.992742241,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
540,0.0,0.637901452,0.956751451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1290,0.0,0.7351288469999999,0.972602828,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
310,0.0,0.8018729259999999,0.955220959,0.994504922,0.9907531949999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1560,0.0,0.846035715,0.996996225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1390,0.0,0.7921005470000001,0.984031446,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
170,0.0,0.7115371579999998,0.966676276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1640,0.0,0.8337940490000001,0.982135362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1900,0.0,0.7670084030000001,0.971425548,0.989278724,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2490,0.0,0.8170397250000001,0.97048662,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1590,0.0,0.844154009,0.993145341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2510,0.0,0.78785329,0.941969014,0.9935550479999999,0.99967246,0.99934429,1.0,1.0,1.0,0.997415174,1.0,1.0,1.0,1.0,1.0,1.0,
1610,0.0,0.8238079659999998,0.990157175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2200,0.0,0.788108356,0.986125122,0.995850502,1.0,1.0,1.0,1.0,1.0,0.998302994,1.0,1.0,1.0,1.0,0.9996248189999999,1.0,
910,0.0,0.835907214,0.9826027469999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2210,0.0,0.773464572,0.978331144,0.999698263,0.9897897839999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1370,0.0,0.812864753,0.9627936969999998,1.0,0.993982894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1320,0.0,0.750165651,0.968767119,0.99164507,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
900,0.0,0.7375456130000002,0.983204722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1850,0.0,0.757043247,0.932365485,0.9894663859999999,0.9924418669999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999949176,1.0,1.0,1.0,
